DatasetID,year1,author1,DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D4193002,2007,F.Tarkanyi+,9.8e-4,1.2e-4,5.57e+6,1.12e+6,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.00151,2.2e-4,5.66e+6,1.07e+6,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.01039,0.00127,6.85e+6,1.01e+6,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.02258,0.00277,7.31e+6,9.4e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.04162,0.0051,7.99e+6,9.2e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.06304,0.00774,8.74e+6,8.2e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.07163,0.00878,9.03e+6,8.3e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.06397,0.00785,9.99e+6,7.5e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.06226,0.00764,1.003e+7,7.2e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.05347,0.00656,1.09e+7,6.8e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.04711,0.00577,1.121e+7,6.3e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.03506,0.0043,1.172e+7,1.92e+6,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.04295,0.00529,1.175e+7,6.1e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.03854,0.00475,1.232e+7,5.4e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.03516,0.00432,1.257e+7,5.4e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.03222,0.00396,1.335e+7,4.8e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.03073,0.00379,1.336e+7,4.5e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.02984,0.00368,1.409e+7,4.2e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.02441,0.003,1.426e+7,1.74e+6,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.02755,0.00342,1.435e+7,3.8e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.02689,0.00332,1.482e+7,3.6e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.02662,0.00332,1.529e+7,3.0e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.02567,0.00316,1.552e+7,3.0e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.02342,0.00288,1.65e+7,1.58e+6,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.02156,0.00268,1.853e+7,1.44e+6,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.02001,0.00258,2.041e+7,1.31e+6,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.01831,0.00237,2.217e+7,1.19e+6,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.01528,0.00201,2.382e+7,1.07e+6,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.01455,0.00182,2.54e+7,9.6e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.01383,0.00184,2.69e+7,8.6e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.01356,0.00185,2.834e+7,7.5e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.01823,0.00257,2.973e+7,6.6e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
D4193002,2007,F.Tarkanyi+,0.0143,0.00186,3.107e+7,5.6e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
